,v_Acc,v_Vel,Global_X,Global_Y
0,3.6,34.4,6451733.424,1872732.908
1,-0.02,22.33,6451206.885,1873217.458
2,0.0,34.12,6451498.202,1872939.888
3,9.03,24.24,6451152.204,1873275.025
4,6.82,57.33,6452306.424,1872231.839
5,0.78,39.57,6451793.079,1872678.288
6,0.0,25.76,6451380.565,1873045.85
7,0.0,25.0,6451128.359,1873301.311
8,-5.43,46.39,6451910.318,1872560.677
9,-6.36,21.94,6451197.73,1873227.246
10,0.0,29.99,6451400.937,1873025.482
11,6.28,54.7,6452117.093,1872371.606
12,4.56,40.27,6451988.668,1872511.098
13,9.84,30.69,6451424.58,1873002.845
14,0.0,25.84,6451283.695,1873138.007
15,9.95,26.06,6451216.236,1873204.344
16,5.43,41.06,6451855.39,1872612.63
17,0.0,45.0,6451964.464,1872513.03
18,0.0,25.24,6451207.75,1873213.692
19,-0.41,54.02,6452090.132,1872398.195
20,4.72,59.62,6452634.354,1871947.189
21,11.2,31.01,6451222.013,1873198.226
22,0.0,34.12,6451574.553,1872872.382
23,2.69,31.28,6451561.249,1872883.321
24,0.0,40.0,6451928.427,1872563.739
25,7.3,31.51,6451426.873,1873000.716
26,0.0,27.67,6451629.691,1872823.502
27,11.2,23.32,6451333.644,1873086.593
28,0.0,20.0,6451156.749,1873271.844
29,11.2,21.01,6451249.805,1873170.513
30,11.2,53.78,6451992.468,1872487.829
31,6.26,50.53,6452177.746,1872343.556
32,1.66,35.08,6451741.326,1872725.994
33,-4.68,27.94,6451386.148,1873039.514
34,1.19,25.9,6451294.776,1873124.327
35,0.0,22.33,6451217.565,1873206.04
36,-1.59,30.98,6451474.904,1872957.963
37,0.0,25.0,6451175.745,1873249.111
38,4.31,49.62,6452087.481,1872422.627
39,3.87,30.31,6451497.978,1872937.949
40,0.0,25.84,6451287.311,1873134.311
41,-10.85,25.08,6451326.221,1873093.734
42,0.0,29.99,6451403.099,1873023.402
43,-0.27,29.98,6451704.424,1872758.955
44,5.9,23.22,6451200.961,1873221.17
45,2.45,46.87,6451889.672,1872579.926
46,0.0,25.76,6451353.978,1873070.212
47,0.0,32.27,6451446.176,1872983.529
48,11.2,26.24,6451731.917,1872737.312
49,-0.05,50.03,6452095.025,1872416.019
50,3.19,38.07,6451840.872,1872625.893
51,-10.03,55.82,6452256.665,1872274.858
52,-10.17,49.64,6452015.508,1872465.039
53,-0.16,48.0,6452344.405,1872197.698
54,0.0,34.12,6451569.494,1872876.963
55,6.28,34.46,6451780.93,1872693.073
56,0.18,44.99,6452035.601,1872468.074
57,0.0,19.89,6451139.397,1873291.122
58,11.2,23.32,6451251.76,1873170.48
59,-0.57,41.5,6451864.384,1872603.949
60,11.2,27.47,6451217.956,1873202.539
61,-11.2,57.99,6452545.578,1872017.845
62,0.0,25.67,6451241.029,1873181.526
63,0.16,25.7,6451260.703,1873161.276
64,-2.49,50.15,6452147.68,1872369.894
65,8.42,55.08,6451996.364,1872483.86
66,0.0,19.89,6451136.708,1873294.084
67,9.22,24.59,6451269.08,1873149.378
68,0.0,24.52,6451713.092,1872753.147
69,-11.2,25.46,6451242.887,1873177.602
70,11.02,48.1,6452040.853,1872442.932
71,0.0,20.0,6451172.88,1873254.074
72,0.31,27.65,6451602.656,1872847.224
73,-0.24,25.76,6451307.663,1873111.583
74,-1.69,24.28,6451694.27,1872768.672
75,4.87,29.46,6451755.478,1872715.571
76,-4.25,45.3,6452025.452,1872476.944
77,11.2,19.06,6451248.158,1873172.336
78,4.39,23.81,6451150.438,1873276.989
