VidTime SimTime LonAccel LatAccel Throttle Brake Gear Heading HeadingError HeadwayDistance HeadwayTime Lane LaneOffset RoadOffset Steer TailwayDistance TailwayTime Velocity LatVelocity VertVelocity XPos YPos ZPos Roll Pitch Yaw EngineRPM SlipFR SlipFL SlipRR SlipRL User1 User2 User3 User4 User5 User6 User7 User8 User9 User10 User11 User12 User13 User14 User15 User16 User17 User18 User19 User20 User21 
0.0166666 261.283 3.203365 -0.058632 38.020576 0.000000 4.000000 89.726453 -0.004769 10000.000000 1709.899027 -2.000000 -0.553344 -4.846656 -0.081939 10000.000000 1709.899027 5.847536 -0.016071 0.103204 -6104.846191 1895.186523 -0.529144 0.024464 1.083241 89.726439 2194.881592 0.043405 0.042927 0.001778 0.001653 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.0333667 261.3 3.196222 -0.059033 38.020576 0.000000 4.000000 89.716276 -0.004947 10000.000000 1694.484662 -2.000000 -0.553832 -4.846168 -0.081939 10000.000000 1694.484662 5.900734 -0.016031 0.104228 -6104.845703 1895.284546 -0.529259 0.024909 1.074124 89.716262 2204.678711 0.043303 0.042822 0.001781 0.001651 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.0500333 261.317 3.189878 -0.059699 38.020576 0.000000 4.000000 89.706004 -0.005126 10000.000000 1679.374642 -2.000000 -0.554808 -4.845192 -0.081468 10000.000000 1679.374642 5.953830 -0.015986 0.105263 -6104.844727 1895.383301 -0.529358 0.025409 1.065007 89.705989 2213.653320 0.043182 0.042695 0.001782 0.001648 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.0667333 261.333 3.182841 -0.060627 38.294022 0.000000 4.000000 89.695642 -0.005307 10000.000000 1664.569636 -2.000000 -0.555296 -4.844704 -0.081468 10000.000000 1664.569636 6.006790 -0.015941 0.106287 -6104.844238 1895.483032 -0.529440 0.025952 1.055943 89.695628 2222.006348 0.043015 0.042521 0.001782 0.001643 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.0833999 261.35 3.174005 -0.061819 38.294022 0.000000 4.000000 89.685185 -0.005490 10000.000000 1650.071289 -2.000000 -0.556272 -4.843728 -0.081154 10000.000000 1650.071289 6.059575 -0.015900 0.107279 -6104.843262 1895.583496 -0.529506 0.026536 1.046963 89.685171 2230.182617 0.042814 0.042314 0.001781 0.001637 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.1001 261.367 3.163315 -0.063219 38.294022 0.000000 4.000000 89.674646 -0.005674 10000.000000 1635.878064 -2.000000 -0.557248 -4.842752 -0.080840 10000.000000 1635.878064 6.112156 -0.015868 0.108221 -6104.842285 1895.684937 -0.529556 0.027157 1.038077 89.674632 2237.967041 0.042584 0.042078 0.001779 0.001629 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.116767 261.383 3.150872 -0.064747 39.524529 0.000000 4.000000 89.664032 -0.005859 10000.000000 1621.988141 -2.000000 -0.557736 -4.842264 -0.080840 10000.000000 1621.988141 6.164507 -0.015844 0.109096 -6104.841797 1895.787354 -0.529591 0.027816 1.029286 89.664017 2245.856201 0.042332 0.041820 0.001775 0.001621 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.133467 261.4 3.137680 -0.066371 39.524529 0.000000 4.000000 89.653364 -0.006045 10000.000000 1608.388723 -2.000000 -0.558712 -4.841288 -0.080369 10000.000000 1608.388723 6.216641 -0.015831 0.109894 -6104.840820 1895.890503 -0.529611 0.028512 1.020585 89.653349 2255.057373 0.042126 0.041607 0.001772 0.001615 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.150133 261.417 3.125912 -0.067968 39.524529 0.000000 4.000000 89.642633 -0.006232 10000.000000 1595.059128 -2.000000 -0.559688 -4.840312 -0.080369 10000.000000 1595.059128 6.268605 -0.015829 0.110612 -6104.839844 1895.994507 -0.529620 0.029240 1.011982 89.642618 2263.789795 0.041943 0.041416 0.001768 0.001610 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.166833 261.433 3.115433 -0.069527 41.028481 0.000000 4.000000 89.631855 -0.006420 10000.000000 1581.989827 -2.000000 -0.560664 -4.839336 -0.079898 10000.000000 1581.989827 6.320407 -0.015837 0.111246 -6104.838867 1896.099487 -0.529616 0.029994 1.003495 89.631840 2272.346680 0.041756 0.041221 0.001764 0.001606 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.1835 261.45 3.105781 -0.070955 41.028481 0.000000 4.000000 89.621043 -0.006609 10000.000000 1569.169469 -2.000000 -0.561640 -4.838360 -0.079898 10000.000000 1569.169469 6.372062 -0.015853 0.111793 -6104.837891 1896.205200 -0.529602 0.030763 0.995140 89.621028 2281.819580 0.041607 0.041064 0.001760 0.001603 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.2002 261.467 3.097674 -0.072268 41.712097 0.000000 4.000000 89.610197 -0.006798 10000.000000 1556.583075 -2.000000 -0.562616 -4.837384 -0.079269 10000.000000 1556.583075 6.423604 -0.015875 0.112255 -6104.836914 1896.311890 -0.529580 0.031535 0.986947 89.610182 2290.713623 0.041466 0.040915 0.001755 0.001601 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.216867 261.483 3.090439 -0.073363 41.712097 0.000000 4.000000 89.599316 -0.006988 10000.000000 1544.224617 -2.000000 -0.563592 -4.836408 -0.079269 10000.000000 1544.224617 6.475032 -0.015900 0.112633 -6104.835938 1896.419434 -0.529550 0.032292 0.978942 89.599301 2299.457520 0.041324 0.040766 0.001750 0.001599 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.233567 261.5 3.083300 -0.074305 41.712097 0.000000 4.000000 89.588422 -0.007179 10000.000000 1532.090290 -2.000000 -0.564568 -4.835432 -0.078484 10000.000000 1532.090290 6.526337 -0.015925 0.112929 -6104.834961 1896.527710 -0.529514 0.033018 0.971153 89.588407 2307.520020 0.041167 0.040602 0.001744 0.001597 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
