VidTime SimTime LonAccel LatAccel Throttle Brake Gear Heading HeadingError HeadwayDistance HeadwayTime Lane LaneOffset RoadOffset Steer TailwayDistance TailwayTime Velocity LatVelocity VertVelocity XPos YPos ZPos Roll Pitch Yaw EngineRPM SlipFR SlipFL SlipRR SlipRL User1 User2 User3 User4 User5 User6 User7 User8 User9 User10 User11 User12 User13 User14 User15 User16 User17 User18 User19 User20 User21 
0.0166666 194.867 3.639241 -0.193760 76.542259 0.442540 4.000000 91.663188 0.029033 10000.000000 1782.501305 -2.000000 -0.409303 -4.990697 -0.114602 10000.000000 1782.501305 5.611241 -0.006338 0.107808 -6104.990234 1894.753540 -0.529265 0.068962 1.176375 91.663172 2213.487305 0.052398 0.049862 0.001794 0.001858 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.0333667 194.883 3.618058 -0.205084 76.542259 0.442540 4.000000 91.656658 0.028919 10000.000000 1762.424571 -2.000000 -0.406373 -4.993627 -0.114602 10000.000000 1762.424571 5.675039 -0.009458 0.109799 -6104.993164 1894.853516 -0.529390 0.075991 1.175276 91.656643 2224.008545 0.052101 0.049457 0.001792 0.001843 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.0500333 194.9 3.600689 -0.213727 76.542259 0.442540 4.000000 91.649056 0.028786 10000.000000 1745.163514 -2.000000 -0.403931 -4.996069 -0.137057 10000.000000 1745.163514 5.731061 -0.012174 0.111510 -6104.995605 1894.942505 -0.529488 0.081876 1.173708 91.649041 2233.230957 0.051846 0.049120 0.001793 0.001833 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.0667333 194.917 3.583215 -0.222741 81.942818 0.300206 4.000000 91.639084 0.028612 10000.000000 1727.199794 -2.000000 -0.401489 -4.998511 -0.137057 10000.000000 1727.199794 5.790550 -0.014994 0.113275 -6104.998047 1895.038574 -0.529580 0.087808 1.171438 91.639069 2242.955566 0.051561 0.048768 0.001800 0.001824 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.0833999 194.933 3.566423 -0.230703 81.942818 0.300206 4.000000 91.627240 0.028406 10000.000000 1709.681009 -2.000000 -0.399047 -5.000953 -0.154488 10000.000000 1709.681009 5.849767 -0.017758 0.114985 -6105.000488 1895.135498 -0.529659 0.093333 1.168571 91.627225 2252.541504 0.051273 0.048445 0.001810 0.001818 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.1001 194.95 3.550025 -0.237080 81.942818 0.300206 4.000000 91.613587 0.028167 10000.000000 1692.590534 -2.000000 -0.396606 -5.003394 -0.166736 10000.000000 1692.590534 5.908719 -0.020384 0.116631 -6105.002930 1895.233521 -0.529726 0.098468 1.165128 91.613572 2261.986328 0.050964 0.048138 0.001824 0.001814 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.116767 194.967 3.533895 -0.241686 81.942818 0.300206 4.000000 91.598205 0.027899 10000.000000 1675.912955 -2.000000 -0.394164 -5.005836 -0.166736 10000.000000 1675.912955 5.967406 -0.022893 0.118198 -6105.005371 1895.332520 -0.529779 0.103164 1.161134 91.598190 2271.299805 0.050640 0.047826 0.001841 0.001812 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.133467 194.983 3.516885 -0.244391 83.720215 0.442540 4.000000 91.580078 0.027582 10000.000000 1658.629711 -2.000000 -0.391722 -5.008278 -0.172861 10000.000000 1658.629711 6.029473 -0.025361 0.119767 -6105.007813 1895.438721 -0.529821 0.107634 1.156319 91.580063 2281.066162 0.050278 0.047494 0.001863 0.001813 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.150133 195 3.501903 -0.245011 83.720215 0.442540 4.000000 91.562661 0.027278 10000.000000 1643.741131 -2.000000 -0.389768 -5.010232 -0.172861 10000.000000 1643.741131 6.083991 -0.027364 0.121058 -6105.009766 1895.533325 -0.529846 0.111071 1.151612 91.562646 2289.585205 0.049944 0.047200 0.001885 0.001815 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.166833 195.017 3.485847 -0.243289 83.720215 0.442540 4.000000 91.542737 0.026931 10000.000000 1628.221959 -2.000000 -0.387326 -5.012674 -0.173489 10000.000000 1628.221959 6.141884 -0.029275 0.122354 -6105.012207 1895.635254 -0.529862 0.114114 1.146146 91.542722 2298.580811 0.049594 0.046891 0.001911 0.001819 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.1835 195.033 3.468701 -0.238890 83.720215 0.442540 4.000000 91.520218 0.026538 10000.000000 1612.128601 -2.000000 -0.384884 -5.015116 -0.173489 10000.000000 1612.128601 6.203103 -0.031035 0.123640 -6105.014648 1895.744507 -0.529866 0.116462 1.139857 91.520203 2308.045654 0.049237 0.046570 0.001941 0.001826 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.2002 195.05 3.453712 -0.233311 83.686035 0.442540 4.000000 91.499338 0.026173 10000.000000 1598.254592 -2.000000 -0.382931 -5.017069 -0.171290 10000.000000 1598.254592 6.256875 -0.032346 0.124689 -6105.016602 1895.841797 -0.529859 0.117642 1.133918 91.499323 2316.324463 0.048910 0.046295 0.001969 0.001834 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
