,v_Acc,v_Vel,Global_X,Global_Y
0,-0.52,28.71,6451237.923,1873250.701
1,-4.68,41.37,6452541.435,1872086.842
2,-5.53,40.86,6452092.392,1872450.22
3,0.0,45.0,6452696.741,1871962.715
4,-0.24,19.36,6451303.445,1873184.646
5,0.17,30.31,6451750.964,1872749.77
6,-0.29,29.98,6451776.366,1872758.085
7,0.0,50.0,6452108.302,1872469.873
8,7.23,37.59,6451832.294,1872677.658
9,8.26,31.67,6451794.464,1872742.11
10,0.0,15.5,6451155.54,1873308.526
11,-7.37,21.35,6451347.864,1873109.456
12,-3.99,22.75,6451344.572,1873112.669
13,0.0,50.0,6452658.925,1871961.788
14,-1.12,28.12,6451518.701,1872982.101
15,0.0,19.96,6451282.602,1873173.928
16,0.0,29.16,6451419.532,1873040.097
17,0.0,49.12,6452685.92,1871940.305
18,11.2,4.76,6451398.754,1873093.197
19,0.0,50.0,6452615.889,1871996.036
20,-1.76,31.76,6451575.82,1872900.634
21,-5.6,26.91,6451275.198,1873214.153
22,0.0,45.0,6452295.173,1872271.499
23,0.34,44.9,6452242.893,1872317.745
24,1.98,32.76,6451517.121,1872951.682
25,-0.37,27.29,6451247.742,1873240.753
26,-1.35,28.85,6451232.02,1873257.105
27,-0.05,22.96,6451370.908,1873086.964
28,0.0,12.55,6451134.895,1873332.919
29,1.76,46.24,6452061.026,1872511.285
30,6.53,31.41,6451502.681,1872964.496
31,9.27,27.94,6452445.822,1872170.927
32,0.0,27.0,6451559.272,1872945.606
33,0.88,15.53,6451162.573,1873300.257
34,-3.28,32.71,6451519.604,1872949.398
35,0.0,2.0,6451393.646,1873097.922
36,-1.72,27.39,6451524.86,1872976.458
37,-4.77,34.03,6452269.476,1872328.552
38,-2.07,14.21,6451230.236,1873227.575
39,-6.07,2.44,6451389.183,1873102.206
40,5.63,47.78,6452078.568,1872495.92
41,2.66,36.28,6451908.779,1872643.028
42,0.34,36.67,6451899.577,1872618.864
43,4.22,25.38,6452435.811,1872179.565
44,-2.01,18.48,6451321.431,1873167.209
45,0.0,20.0,6452373.527,1872233.622
