VidTime SimTime LonAccel LatAccel Throttle Brake Gear Heading HeadingError HeadwayDistance HeadwayTime Lane LaneOffset RoadOffset Steer TailwayDistance TailwayTime Velocity LatVelocity VertVelocity XPos YPos ZPos Roll Pitch Yaw EngineRPM SlipFR SlipFL SlipRR SlipRL User1 User2 User3 User4 User5 User6 User7 User8 User9 User10 User11 User12 User13 User14 User15 User16 User17 User18 User19 User20 User21 
0.0166666 364.75 3.035849 0.031330 90.000000 0.000000 4.000000 90.056775 0.000991 10000.000000 1055.200868 2.000000 -0.491797 4.908203 0.016520 16.324252 1.722536 9.475656 0.003646 0.152134 -6104.908203 1909.361694 -0.530178 -0.015537 0.921430 90.056760 2971.797607 0.040484 0.040728 0.001585 0.001593 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.0333667 364.767 3.037750 0.030915 90.000000 0.000000 4.000000 90.060334 0.001053 10000.000000 1049.240379 2.000000 -0.491797 4.908203 0.016520 16.430210 1.723924 9.529485 0.003603 0.153056 -6104.908203 1909.529907 -0.530182 -0.015209 0.921104 90.060319 2986.462158 0.040526 0.040763 0.001587 0.001596 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.0500333 364.783 3.039890 0.030502 90.000000 0.000000 4.000000 90.063653 0.001111 10000.000000 1043.688407 2.000000 -0.491309 4.908691 0.015578 16.526840 1.724887 9.580177 0.003555 0.153908 -6104.908691 1909.689209 -0.530184 -0.014873 0.920725 90.063638 3000.205322 0.040541 0.040775 0.001588 0.001597 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.0667333 364.8 3.041186 0.029917 90.000000 0.000000 4.000000 90.066938 0.001168 10000.000000 1038.194162 2.000000 -0.491309 4.908691 0.015578 16.623907 1.725884 9.630877 0.003500 0.154745 -6104.908691 1909.849365 -0.530184 -0.014513 0.920291 90.066923 3013.994141 0.040546 0.040776 0.001588 0.001598 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.0833999 364.817 3.041778 0.029228 90.000000 0.000000 4.000000 90.070176 0.001225 10000.000000 1032.757054 2.000000 -0.490820 4.909180 0.014479 16.721291 1.726903 9.681581 0.003435 0.155568 -6104.909180 1910.010254 -0.530183 -0.014132 0.919815 90.070161 3027.829590 0.040554 0.040776 0.001588 0.001598 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.1001 364.833 3.042209 0.028357 90.000000 0.000000 4.000000 90.073359 0.001280 10000.000000 1027.375893 2.000000 -0.490820 4.909180 0.014479 16.819234 1.727968 9.732292 0.003362 0.156377 -6104.909180 1910.172119 -0.530180 -0.013731 0.919306 90.073344 3041.674072 0.040567 0.040780 0.001588 0.001598 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.116767 364.85 3.042801 0.027228 90.000000 0.000000 4.000000 90.076473 0.001335 10000.000000 1022.049024 2.000000 -0.490332 4.909668 0.012595 16.917493 1.729051 9.783017 0.003271 0.157172 -6104.909668 1910.334717 -0.530176 -0.013309 0.918776 90.076458 3055.498291 0.040584 0.040787 0.001588 0.001599 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.133467 364.867 3.043527 0.025871 90.000000 0.000000 4.000000 90.079321 0.001384 10000.000000 1017.103758 2.000000 -0.490332 4.909668 0.010239 17.006058 1.729693 9.830585 0.003172 0.157905 -6104.909668 1910.488037 -0.530171 -0.012881 0.918269 90.079307 3068.434814 0.040601 0.040794 0.001588 0.001599 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.150133 364.883 3.044429 0.023861 90.000000 0.000000 4.000000 90.082457 0.001439 10000.000000 1011.555009 2.000000 -0.489844 4.910156 0.010239 17.115447 1.731322 9.884510 0.003029 0.158722 -6104.910156 1910.662598 -0.530164 -0.012342 0.917693 90.082442 3083.074951 0.040620 0.040799 0.001588 0.001600 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.166833 364.9 3.045206 0.021901 90.000000 0.000000 4.000000 90.085120 0.001486 10000.000000 1006.707827 2.000000 -0.489355 4.910645 0.006784 17.204644 1.732005 9.932104 0.002887 0.159432 -6104.910645 1910.817383 -0.530158 -0.011802 0.917193 90.085105 3095.980957 0.040636 0.040803 0.001588 0.001600 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.1835 364.917 3.046035 0.019019 90.000000 0.000000 4.000000 90.088009 0.001536 10000.000000 1001.268946 2.000000 -0.489355 4.910645 0.006784 17.315030 1.733700 9.986057 0.002683 0.160225 -6104.910645 1910.993774 -0.530150 -0.011091 0.916645 90.087995 3110.598145 0.040656 0.040804 0.001588 0.001600 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.2002 364.933 3.046786 0.015974 90.000000 0.000000 4.000000 90.090578 0.001581 10000.000000 996.202260 2.000000 -0.488867 4.911133 0.003016 17.415478 1.734934 10.036848 0.002461 0.160963 -6104.911133 1911.160645 -0.530143 -0.010295 0.916154 90.090563 3124.345703 0.040677 0.040805 0.001588 0.001600 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.216867 364.95 3.047530 0.012226 90.000000 0.000000 4.000000 90.092968 0.001623 10000.000000 991.185282 2.000000 -0.488867 4.911133 0.003016 17.516365 1.736196 10.087652 0.002195 0.161697 -6104.911133 1911.328369 -0.530135 -0.009339 0.915699 90.092953 3138.082275 0.040700 0.040803 0.001587 0.001600 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.233567 364.967 3.048268 0.008487 90.000000 0.000000 4.000000 90.095168 0.001661 10000.000000 986.217469 2.000000 -0.488379 4.911621 -0.001381 17.617688 1.737487 10.138468 0.001901 0.162430 -6104.911621 1911.496948 -0.530127 -0.008195 0.915288 90.095153 3151.807373 0.040725 0.040802 0.001587 0.001601 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.250233 364.983 3.048998 0.004105 90.000000 0.000000 4.000000 90.097128 0.001695 10000.000000 981.297920 2.000000 -0.487891 4.912109 -0.001381 17.719450 1.738806 10.189296 0.001565 0.163164 -6104.912109 1911.666382 -0.530120 -0.006835 0.914930 90.097113 3165.521240 0.040753 0.040798 0.001587 0.001601 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.266933 365 3.049657 0.000274 90.000000 0.000000 4.000000 90.098740 0.001723 10000.000000 976.729352 2.000000 -0.487891 4.912109 -0.005307 17.811030 1.739656 10.236957 0.001233 0.163858 -6104.912109 1911.826050 -0.530113 -0.005363 0.914649 90.098725 3178.368652 0.040783 0.040794 0.001586 0.001601 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.2836 365.017 3.050388 -0.004331 90.000000 0.000000 4.000000 90.100256 0.001750 10000.000000 971.601548 2.000000 -0.487402 4.912598 -0.005307 17.924287 1.741527 10.290985 0.000831 0.164653 -6104.912598 1912.007813 -0.530106 -0.003470 0.914400 90.100241 3192.920410 0.040820 0.040788 0.001586 0.001601 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.3003 365.033 3.051028 -0.007993 90.000000 0.000000 4.000000 90.101308 0.001768 10000.000000 967.120561 2.000000 -0.486914 4.913086 -0.008291 18.016498 1.742413 10.338667 0.000472 0.165362 -6104.913086 1912.168945 -0.530100 -0.001631 0.914243 90.101293 3205.752930 0.040855 0.040783 0.001585 0.001600 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.316967 365.05 3.051756 -0.011911 90.000000 0.000000 4.000000 90.102148 0.001783 10000.000000 962.090686 2.000000 -0.486914 4.913086 -0.008291 18.130753 1.744343 10.392718 0.000068 0.166176 -6104.913086 1912.352539 -0.530093 0.000603 0.914138 90.102133 3220.287109 0.040894 0.040778 0.001585 0.001600 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.333667 365.067 3.052451 -0.014876 90.000000 0.000000 4.000000 90.102592 0.001791 10000.000000 957.403167 2.000000 -0.486426 4.913574 -0.010332 18.234704 1.745796 10.443603 -0.000293 0.166950 -6104.913574 1912.526245 -0.530088 0.002783 0.914109 90.102577 3233.955078 0.040930 0.040775 0.001584 0.001599 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.350333 365.083 3.053157 -0.017393 90.000000 0.000000 4.000000 90.102694 0.001792 10000.000000 952.759978 2.000000 -0.485937 4.914063 -0.011117 18.338971 1.747264 10.494498 -0.000626 0.167731 -6104.914063 1912.700684 -0.530083 0.004971 0.914147 90.102679 3247.611572 0.040964 0.040773 0.001584 0.001598 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.367033 365.1 3.053871 -0.019252 90.000000 0.000000 4.000000 90.102462 0.001788 10000.000000 948.160580 2.000000 -0.485937 4.914063 -0.011117 18.443797 1.748768 10.545405 -0.000920 0.168517 -6104.914063 1912.876099 -0.530078 0.007088 0.914249 90.102447 3261.256104 0.040996 0.040774 0.001584 0.001597 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.3837 365.117 3.054588 -0.020528 90.000000 0.000000 4.000000 90.101902 0.001779 10000.000000 943.604271 2.000000 -0.485449 4.914551 -0.011117 18.548940 1.750286 10.596325 -0.001168 0.169305 -6104.914551 1913.052246 -0.530075 0.009059 0.914409 90.101887 3274.888672 0.041025 0.040777 0.001584 0.001595 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.4004 365.133 3.055303 -0.021228 90.000000 0.000000 4.000000 90.101041 0.001764 10000.000000 939.090534 2.000000 -0.485449 4.914551 -0.011117 18.654642 1.751840 10.647256 -0.001366 0.170094 -6104.914551 1913.229370 -0.530072 0.010812 0.914623 90.101027 3288.509277 0.041050 0.040784 0.001584 0.001594 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.417067 365.15 3.056014 -0.021543 90.000000 0.000000 4.000000 90.099915 0.001744 10000.000000 934.618774 2.000000 -0.484961 4.915039 -0.011117 18.760660 1.753406 10.698198 -0.001514 0.170882 -6104.915039 1913.407227 -0.530071 0.012285 0.914885 90.099900 3302.117920 0.041073 0.040793 0.001585 0.001593 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.433767 365.167 3.056719 -0.021691 90.000000 0.000000 4.000000 90.098535 0.001720 10000.000000 930.188327 2.000000 -0.484473 4.915527 -0.011117 18.867115 1.754997 10.749153 -0.001618 0.171669 -6104.915527 1913.585938 -0.530071 0.013439 0.915188 90.098520 3315.714600 0.041092 0.040806 0.001586 0.001593 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.450433 365.183 3.057418 -0.021836 90.000000 0.000000 4.000000 90.096957 0.001692 10000.000000 925.798869 2.000000 -0.484473 4.915527 -0.010960 18.974131 1.756623 10.800118 -0.001686 0.172454 -6104.915527 1913.765625 -0.530073 0.014254 0.915526 90.096942 3329.299805 0.041109 0.040821 0.001587 0.001593 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.467133 365.2 3.058097 -0.022033 90.000000 0.000000 4.000000 90.095195 0.001661 10000.000000 921.449590 2.000000 -0.483984 4.916016 -0.010960 19.081462 1.758261 10.851095 -0.001724 0.173242 -6104.916016 1913.946045 -0.530076 0.014735 0.915892 90.095180 3342.873779 0.041124 0.040841 0.001589 0.001592 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.4838 365.217 3.058745 -0.022378 90.000000 0.000000 4.000000 90.093289 0.001628 10000.000000 917.140182 2.000000 -0.483984 4.916016 -0.011274 19.189232 1.759922 10.902081 -0.001744 0.174041 -6104.916016 1914.127319 -0.530080 0.014909 0.916280 90.093274 3356.438965 0.041138 0.040867 0.001590 0.001593 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.5005 365.233 3.059381 -0.023011 90.000000 0.000000 4.000000 90.091274 0.001593 10000.000000 912.869862 2.000000 -0.483496 4.916504 -0.011274 19.297439 1.761605 10.953079 -0.001756 0.174850 -6104.916504 1914.309448 -0.530086 0.014823 0.916685 90.091259 3369.997803 0.041151 0.040894 0.001593 0.001593 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.517167 365.25 3.060014 -0.023923 90.000000 0.000000 4.000000 90.089164 0.001556 10000.000000 908.638415 2.000000 -0.483496 4.916504 -0.012059 19.406083 1.763311 11.004086 -0.001769 0.175673 -6104.916504 1914.492432 -0.530094 0.014537 0.917104 90.089149 3383.550049 0.041164 0.040923 0.001595 0.001594 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.533867 365.267 3.060621 -0.025127 90.000000 0.000000 4.000000 90.087122 0.001521 10000.000000 904.705950 2.000000 -0.483008 4.916992 -0.012059 19.503691 1.764511 11.051917 -0.001790 0.176456 -6104.916992 1914.664795 -0.530102 0.014156 0.917504 90.087107 3396.247314 0.041178 0.040948 0.001596 0.001594 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.550533 365.283 3.061332 -0.026906 90.000000 0.000000 4.000000 90.084738 0.001479 10000.000000 900.289111 2.000000 -0.483008 4.916992 -0.013473 19.624687 1.766789 11.106136 -0.001837 0.177359 -6104.916992 1914.860962 -0.530112 0.013677 0.917964 90.084723 3410.543701 0.041196 0.040975 0.001598 0.001596 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.567233 365.3 3.061900 -0.028861 90.000000 0.000000 4.000000 90.082443 0.001439 10000.000000 896.170854 2.000000 -0.482520 4.917480 -0.013473 19.734767 1.768572 11.157172 -0.001902 0.178220 -6104.917480 1915.046631 -0.530122 0.013267 0.918401 90.082428 3423.768311 0.041205 0.040987 0.001599 0.001596 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.5839 365.317 3.061923 -0.031136 90.000000 0.000000 4.000000 90.080080 0.001398 10000.000000 892.090787 2.000000 -0.482520 4.917480 -0.015985 19.845163 1.770369 11.208199 -0.002000 0.179090 -6104.917480 1915.233032 -0.530133 0.012966 0.918831 90.080065 3436.884033 0.041200 0.040979 0.001599 0.001596 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.6006 365.333 3.061064 -0.033822 90.000000 0.000000 4.000000 90.077648 0.001355 10000.000000 888.049883 2.000000 -0.482031 4.917969 -0.019126 19.955875 1.772181 11.259198 -0.002129 0.179961 -6104.917969 1915.420166 -0.530144 0.012845 0.919242 90.077633 3449.983643 0.041186 0.040955 0.001598 0.001596 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.617267 365.35 3.059455 -0.037062 90.000000 0.000000 4.000000 90.075135 0.001311 10000.000000 884.048106 2.000000 -0.482031 4.917969 -0.019126 20.067147 1.774032 11.310163 -0.002303 0.180832 -6104.917969 1915.608276 -0.530156 0.012957 0.919616 90.075120 3463.096191 0.041171 0.040923 0.001597 0.001595 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.633967 365.367 3.057484 -0.040460 90.000000 0.000000 4.000000 90.072505 0.001265 10000.000000 880.085113 2.000000 -0.481543 4.918457 -0.023680 20.178856 1.775911 11.361091 -0.002507 0.181704 -6104.918457 1915.797241 -0.530168 0.013341 0.919942 90.072490 3476.210693 0.041160 0.040889 0.001596 0.001595 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.650633 365.383 3.055460 -0.044731 90.000000 0.000000 4.000000 90.069732 0.001217 10000.000000 876.159909 2.000000 -0.481543 4.918457 -0.023680 20.291004 1.777816 11.411986 -0.002767 0.182576 -6104.918457 1915.987061 -0.530180 0.014027 0.920215 90.069717 3489.306396 0.041156 0.040853 0.001594 0.001595 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.667333 365.4 3.053642 -0.048833 90.000000 0.000000 4.000000 90.066966 0.001169 10000.000000 872.513797 2.000000 -0.481543 4.918457 -0.029176 20.391626 1.779198 11.459674 -0.003039 0.183393 -6104.918457 1916.165771 -0.530191 0.014961 0.920419 90.066951 3501.555664 0.041155 0.040818 0.001593 0.001595 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
